"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2"
19,800;73,61;75,14;72,38;19,800;77,01;80,66;77,17
19,850;73,60;75,14;72,39;19,850;77,01;80,66;77,17
19,900;73,61;75,14;72,39;19,900;77,01;80,66;77,17
19,950;73,60;75,14;72,38;19,950;77,01;80,65;77,16
20,000;73,60;75,14;72,38;20,000;77,00;80,66;77,16
20,050;73,60;75,14;72,38;20,050;77,00;80,66;77,16
20,100;73,60;75,14;72,38;20,100;77,00;80,65;77,16
20,150;73,60;75,14;72,38;20,150;77,00;80,65;77,16
20,200;73,60;75,14;72,38;20,200;77,00;80,65;77,16
20,250;73,60;75,14;72,38;20,250;77,00;80,65;77,16
20,300;73,60;75,14;72,38;20,300;76,99;80,65;77,16
20,350;73,60;75,14;72,38;20,350;76,99;80,65;77,16
20,400;73,60;75,14;72,38;20,400;76,99;80,65;77,15
20,450;73,60;75,14;72,37;20,450;76,99;80,65;77,15
20,500;73,59;75,14;72,38;20,500;76,99;80,65;77,15
20,550;73,60;75,13;72,37;20,550;76,98;80,65;77,15
20,600;73,59;75,14;72,37;20,600;76,98;80,65;77,15
20,650;73,59;75,14;72,37;20,650;76,98;80,65;77,15
