"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1"
39,100;74,70;75,97;79,00
39,150;74,70;75,97;79,00
39,200;74,70;75,97;79,00
39,250;74,69;75,97;78,99
39,300;74,69;75,96;78,99
39,350;74,69;75,96;78,99
39,400;74,70;75,96;78,99
39,450;74,69;75,95;78,99
39,500;74,69;75,95;78,99
39,550;74,69;75,95;78,98
39,600;74,69;75,95;78,98
39,650;74,69;75,94;78,98
39,700;74,69;75,94;78,98
39,750;74,69;75,94;78,97
39,800;74,68;75,94;78,97
39,850;74,69;75,93;78,97
39,900;74,68;75,93;78,96
39,950;74,68;75,93;78,96
40,000;74,68;75,93;78,97
40,050;74,68;75,92;78,96
40,100;74,68;75,92;78,96
40,150;74,68;75,92;78,95
40,200;74,68;75,92;78,96
40,250;74,68;75,91;78,95
40,300;74,68;75,92;78,95
40,350;74,68;75,91;78,95
40,400;74,67;75,91;78,95
40,450;74,67;75,90;78,95
40,500;74,68;75,90;78,94
40,550;74,67;75,90;78,94
40,600;74,67;75,89;78,94
40,650;74,67;75,89;78,94
40,700;74,67;75,89;78,94
40,750;74,67;75,89;78,93
40,800;74,67;75,88;78,93
40,850;74,67;75,88;78,93
40,900;74,67;75,88;78,93
40,950;74,67;75,88;78,93
41,000;74,66;75,87;78,93
41,050;74,66;75,87;78,92
41,100;74,66;75,87;78,92
41,150;74,66;75,86;78,92
41,200;74,66;75,86;78,92
41,250;74,66;75,86;78,92
41,300;74,66;75,86;78,91
41,350;74,66;75,86;78,91
41,400;74,66;75,85;78,91
41,450;74,66;75,85;78,91
41,500;74,66;75,85;78,90
41,550;74,66;75,85;78,91
41,600;74,66;75,84;78,90
41,650;74,66;75,84;78,90
41,700;74,65;75,84;78,90
41,750;74,65;75,84;78,90
41,800;74,65;75,84;78,90
41,850;74,65;75,83;78,90
41,900;74,65;75,83;78,90
41,950;74,65;75,83;78,89
42,000;74,65;75,83;78,90
42,050;74,65;75,83;78,90
42,100;74,65;75,83;78,89
42,150;74,65;75,82;78,89
42,200;74,64;75,82;78,89
42,250;74,65;75,82;78,89
42,300;74,65;75,81;78,89
42,350;74,64;75,82;78,88
42,400;74,65;75,82;78,88
42,450;74,64;75,81;78,88
42,500;74,64;75,81;78,88
